Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Date
1.65516E+12,0.3117,0.3267,0.2936,0.3214,778418633,1.65525E+12,243464785.1,342614,378034381.9,118330382.1,0,14-06-2022
1.65525E+12,0.3215,0.3469,0.298,0.3436,865192872,1.65534E+12,271227096.2,404846,432927616,135683790.9,0,15-06-2022
1.65534E+12,0.3436,0.3475,0.3073,0.3132,589816543,1.65542E+12,190349169.9,238916,289891372,93503353.15,0,16-06-2022
1.65542E+12,0.3132,0.3397,0.3105,0.321,430655102,1.65551E+12,140271381.6,198729,220129175,71720491.84,0,17-06-2022
1.65551E+12,0.321,0.3263,0.2872,0.3075,555977925.7,1.6556E+12,170366179.9,283907,274411148,84126288.67,0,18-06-2022
1.6556E+12,0.3074,0.333,0.2981,0.3264,393395495,1.65568E+12,123246578.7,201014,197461677,61901469.78,0,19-06-2022
1.65568E+12,0.3262,0.3289,0.3135,0.3227,356161086,1.65577E+12,114351278.5,181160,186248397,59800007.58,0,20-06-2022
1.65577E+12,0.3226,0.3374,0.3187,0.3294,379691157,1.65586E+12,124852730.7,187784,202444640,66561000.36,0,21-06-2022
1.65586E+12,0.3294,0.3297,0.319,0.3223,315095128,1.65594E+12,101794452,152486,162358105,52445619.06,0,22-06-2022
1.65594E+12,0.3223,0.3371,0.3213,0.3358,293426615,1.65603E+12,96235892.66,133928,154739109,50758562.02,0,23-06-2022
1.65603E+12,0.3357,0.3871,0.3348,0.3672,610286919,1.65612E+12,223815201.9,364031,307745887,112897969.6,0,24-06-2022
1.65612E+12,0.3672,0.3741,0.3542,0.3676,216676025,1.6562E+12,79123639.77,134079,105168418,38413830.96,0,25-06-2022
1.6562E+12,0.3677,0.3751,0.3576,0.3592,194186812,1.65629E+12,71039962.4,118676,95681601,35000157.79,0,26-06-2022
1.65629E+12,0.3591,0.3671,0.348,0.3537,274516503,1.65637E+12,98508600.88,140953,137911170,49526867.66,0,27-06-2022
1.65637E+12,0.3537,0.3557,0.3353,0.3375,316153206,1.65646E+12,109315246.5,155206,168250606,58219456.61,0,28-06-2022
1.65646E+12,0.3375,0.3417,0.3201,0.3296,329827694,1.65655E+12,108924493.3,163468,171354767,56593950.01,0,29-06-2022
1.65655E+12,0.3296,0.3333,0.3056,0.3321,463148646,1.65663E+12,147393644.7,245378,237101799,75440787.79,0,30-06-2022
1.65663E+12,0.332,0.3363,0.31,0.3139,373042743,1.65672E+12,118587657,184586,192275060,61071852.57,0,01-07-2022
1.65672E+12,0.3142,0.3181,0.3089,0.3156,179482724,1.65681E+12,56221451.44,88251,90600502,28378354.99,0,02-07-2022
1.65681E+12,0.3157,0.3258,0.3085,0.3215,194701668,1.65689E+12,61533546.21,107856,98899638,31272144.79,0,03-07-2022
1.65689E+12,0.3216,0.33,0.3146,0.3287,276890244,1.65698E+12,88994114.97,126096,153753348,49394287.65,0,04-07-2022
1.65698E+12,0.3287,0.331,0.3128,0.3252,332749123,1.65707E+12,107262278.5,146859,175922885,56699140.23,0,05-07-2022
1.65707E+12,0.3252,0.334,0.32,0.3324,295359140,1.65715E+12,95886316.45,132366,161212789,52335913.47,0,06-07-2022
1.65715E+12,0.3324,0.3456,0.3269,0.3422,261063763,1.65724E+12,87266153.13,126050,147439187,49264860.3,0,07-07-2022
1.65724E+12,0.3423,0.359,0.3359,0.3402,383269941,1.65732E+12,133000861.9,213155,202818061,70409834.93,0,08-07-2022
1.65732E+12,0.3403,0.3477,0.3392,0.3448,131799232,1.65741E+12,45267170.32,80709,67277636,23110229.74,0,09-07-2022
1.65741E+12,0.3448,0.3449,0.3197,0.3255,240237163,1.6575E+12,79468929,124569,119299991,39439440.67,0,10-07-2022
1.6575E+12,0.3256,0.3292,0.3108,0.3152,246538517,1.65758E+12,79546363.02,133558,130435120,42089487.42,0,11-07-2022
1.65758E+12,0.3152,0.3182,0.3078,0.3116,234067778,1.65767E+12,73193935.24,126411,124715018,39002408.58,0,12-07-2022
1.65767E+12,0.3117,0.326,0.302,0.3237,354463864,1.65776E+12,111462870.6,176989,182895242,57532601.37,0,13-07-2022
1.65776E+12,0.3236,0.334,0.3122,0.3338,323459383,1.65784E+12,103892845.1,146897,176443453,56669203.72,0,14-07-2022
1.65784E+12,0.3338,0.349,0.3273,0.3342,392883643,1.65793E+12,132631266.9,200294,213697008,72146915.62,0,15-07-2022
1.65793E+12,0.3341,0.3565,0.3313,0.3505,271487176,1.65802E+12,93541230.76,176489,142193345,49010989.2,0,16-07-2022
1.65802E+12,0.3504,0.3614,0.3413,0.3433,203255685,1.6581E+12,71308820.2,155405,101315331,35554172.82,0,17-07-2022
1.6581E+12,0.3434,0.3701,0.3429,0.3653,404237689,1.65819E+12,145950885,247021,215874107,77921624.53,0,18-07-2022
1.65819E+12,0.3652,0.3767,0.3515,0.3729,372635897,1.65828E+12,135433770.5,240551,190787717,69325586.28,0,19-07-2022
1.65828E+12,0.3728,0.3817,0.3572,0.3635,329852165,1.65836E+12,122555674.3,219247,170114267,63255434.43,0,20-07-2022
1.65836E+12,0.3635,0.3685,0.3485,0.3669,276798269,1.65845E+12,99082317.91,176891,134550373,48182821.77,0,21-07-2022
1.65845E+12,0.3668,0.3716,0.3541,0.3578,231304449,1.65853E+12,84039196.26,153583,121129466,44034645.69,0,22-07-2022
1.65853E+12,0.3578,0.3628,0.3498,0.3592,140472336,1.65862E+12,50073528.36,106298,67351566,24015350.28,0,23-07-2022
1.65862E+12,0.3592,0.3667,0.3558,0.3586,154710249,1.65871E+12,55971080.82,111641,77556767,28059884.11,0,24-07-2022
1.65871E+12,0.3585,0.3602,0.335,0.3362,250777496,1.65879E+12,86676259.48,151193,125589433,43419718.03,0,25-07-2022
1.65879E+12,0.3362,0.3385,0.3252,0.3372,248516564,1.65888E+12,82443390.95,153532,120815478,40085102.93,0,26-07-2022
1.65888E+12,0.3373,0.3597,0.3304,0.3594,270820690,1.65897E+12,92730683.93,173274,138359904,47386119.52,0,27-07-2022
1.65897E+12,0.3594,0.3792,0.3489,0.3739,338381188,1.65905E+12,122379884.7,214156,171414799,61987597.01,0,28-07-2022
1.65905E+12,0.3738,0.3799,0.3596,0.3679,276456259,1.65914E+12,102455414.7,186833,144385392,53526478.06,0,29-07-2022
1.65914E+12,0.3679,0.4099,0.3629,0.3879,388154871,1.65923E+12,151212669,285884,190389680,74193402.68,0,30-07-2022
1.65923E+12,0.388,0.3989,0.3782,0.3792,231814092,1.65931E+12,90300223.1,174085,113537479,44242347.01,0,31-07-2022
1.65931E+12,0.3791,0.386,0.371,0.3791,215729685,1.6594E+12,81602011.27,146825,109339966,41363255.41,0,01-08-2022
1.6594E+12,0.3791,0.3946,0.3667,0.3714,261343324,1.65948E+12,97712462.13,184337,129545005,48449982.32,0,02-08-2022
1.65948E+12,0.3714,0.3775,0.3631,0.3695,212254602,1.65957E+12,78676859.41,137130,104744026,38832024.49,0,03-08-2022
1.65957E+12,0.3695,0.375,0.3643,0.371,170860294,1.65966E+12,63183203.38,107315,85380072,31564774.99,0,04-08-2022
1.65966E+12,0.371,0.3785,0.3673,0.3764,178170072,1.65974E+12,66561027.32,117145,97071624,36257586.85,0,05-08-2022
1.65974E+12,0.3764,0.378,0.3703,0.3715,88658479,1.65983E+12,33182898.95,66502,42405437,15872414.64,0,06-08-2022
1.65983E+12,0.3715,0.3772,0.3682,0.3722,94432362,1.65992E+12,35204727.09,65502,47947178,17876939.24,0,07-08-2022
1.65992E+12,0.3723,0.3847,0.371,0.3787,221476216,1.66E+12,83979590.97,128662,115977396,43979420,0,08-08-2022
1.66E+12,0.3787,0.3801,0.3606,0.3672,168358813,1.66009E+12,62324528.94,110373,82666286,30600207.96,0,09-08-2022
1.66009E+12,0.3672,0.3815,0.3583,0.3814,218617309,1.66018E+12,81068105.44,142208,112384455,41691872.09,0,10-08-2022
1.66018E+12,0.3814,0.386,0.377,0.3802,212303676,1.66026E+12,80900073.12,124815,107303586,40891650.71,0,11-08-2022
1.66026E+12,0.3801,0.3806,0.3699,0.3796,169377982,1.66035E+12,63609314.08,102798,93156310,34983116.18,0,12-08-2022
1.66035E+12,0.3797,0.3876,0.3763,0.378,122728952,1.66044E+12,46708311.96,85925,59296459,22568922,0,13-08-2022
1.66044E+12,0.3779,0.3922,0.3738,0.3757,184744299,1.66052E+12,70663793.93,125664,89113137,34102471.67,0,14-08-2022
1.66052E+12,0.3756,0.3852,0.3658,0.3751,231352894,1.66061E+12,86406258.69,141003,119381222,44598719.6,0,15-08-2022
